"Name","Team","Bye Week","Rank","Andy","Jason","Mike","Markers"
"Tyler Bass","BUF","7","1","1","2","1","Mark Drafted                      Mark Keeper"
"Justin Tucker","BAL","10","2","5","1","2","Mark Drafted                      Mark Keeper"
"Ryan Succop","TB","11","3","2","5","3","Mark Drafted                      Mark Keeper"
"Evan McPherson","CIN","10","4","3","6","4","Mark Drafted                      Mark Keeper"
"Brandon McManus","DEN","9","5","7","4","5","Mark Drafted                      Mark Keeper"
"Matt Gay","LAR","7","6","8","3","6","Mark Drafted                      Mark Keeper"
"Harrison Butker","KC","8","7","4","8","7","Mark Drafted                      Mark Keeper"
"Dustin Hopkins","LAC","8","8","6","7","9","Mark Drafted                      Mark Keeper"
"Greg Joseph","MIN","7","9","9","9","8","Mark Drafted                      Mark Keeper"
"Cade York","CLE","9","10","15","10","10","Mark Drafted                      Mark Keeper"
"Wil Lutz","NO","14","11","12","15","11","Mark Drafted                      Mark Keeper"
"Matt Prater","ARI","13","12","13","13","15","Mark Drafted                      Mark Keeper"
"Nick Folk","NE","10","13","10","17","14","Mark Drafted                      Mark Keeper"
"Jake Elliott","PHI","7","14","19","11","12","Mark Drafted                      Mark Keeper"
"Robbie Gould","SF","9","15","18","12","13","Mark Drafted                      Mark Keeper"
"Younghoe Koo","ATL","14","16","11","16","20","Mark Drafted                      Mark Keeper"
"Rodrigo Blankenship","IND","14","17","14","21","18","Mark Drafted                      Mark Keeper"
"Daniel Carlson","LV","6","18","17","20","16","Mark Drafted                      Mark Keeper"
"Mason Crosby","GB","14","19","16","25","17","Mark Drafted                      Mark Keeper"
"Jason Sanders","MIA","11","20","20","14","26","Mark Drafted                      Mark Keeper"
"Jonathan Garibay","DAL","9","21","21","18","23","Mark Drafted                      Mark Keeper"
"Joey Slye","WAS","14","22","22","23","19","Mark Drafted                      Mark Keeper"
"Aldrick Rosas","","","23","23","26","25","Mark Drafted                      Mark Keeper"
"Greg Zuerlein","NYJ","10","24","26","19","30","Mark Drafted                      Mark Keeper"
"Randy Bullock","TEN","6","25","31","22","22","Mark Drafted                      Mark Keeper"
"Ryan Santoso","JAX","11","26","25","27","24","Mark Drafted                      Mark Keeper"
"Jason Myers","SEA","11","27","24","24","28","Mark Drafted                      Mark Keeper"
"Cairo Santos","CHI","14","28","32","29","21","Mark Drafted                      Mark Keeper"
"Graham Gano","NYG","9","29","27","28","31","Mark Drafted                      Mark Keeper"
"Chris Boswell","PIT","9","30","30","31","27","Mark Drafted                      Mark Keeper"
"Zane Gonzalez","CAR","13","31","29","30","29","Mark Drafted                      Mark Keeper"
"Ka'imi Fairbairn","HOU","6","32","28","32","32","Mark Drafted                      Mark Keeper"
