"Name","Team","Pos","Position","Rank","Andy","Jason","Mike","Markers"
"Christian McCaffrey","CAR","RB","RB","1","1","2","2","Mark Drafted                      Mark Keeper"
"Jonathan Taylor","IND","RB","RB","2","2","1","1","Mark Drafted                      Mark Keeper"
"Cooper Kupp","LAR","WR","WR","3","3","3","3","Mark Drafted                      Mark Keeper"
"Justin Jefferson","MIN","WR","WR","4","5","4","4","Mark Drafted                      Mark Keeper"
"Austin Ekeler","LAC","RB","RB","5","4","5","5","Mark Drafted                      Mark Keeper"
"Derrick Henry","TEN","RB","RB","6","7","6","9","Mark Drafted                      Mark Keeper"
"Joe Mixon","CIN","RB","RB","7","6","8","18","Mark Drafted                      Mark Keeper"
"Davante Adams","LV","WR","WR","8","8","11","6","Mark Drafted                      Mark Keeper"
"Ja'Marr Chase","CIN","WR","WR","9","10","7","10","Mark Drafted                      Mark Keeper"
"Stefon Diggs","BUF","WR","WR","10","11","9","8","Mark Drafted                      Mark Keeper"
"Dalvin Cook","MIN","RB","RB","11","9","13","7","Mark Drafted                      Mark Keeper"
"D'Andre Swift","DET","RB","RB","12","19","12","11","Mark Drafted                      Mark Keeper"
"Leonard Fournette","TB","RB","RB","13","12","15","16","Mark Drafted                      Mark Keeper"
"Najee Harris","PIT","RB","RB","14","18","10","15","Mark Drafted                      Mark Keeper"
"James Conner","ARI","RB","RB","15","17","16","13","Mark Drafted                      Mark Keeper"
"Mike Evans","TB","WR","WR","16","14","14","22","Mark Drafted                      Mark Keeper"
"Ezekiel Elliott","DAL","RB","RB","17","20","21","14","Mark Drafted                      Mark Keeper"
"Aaron Jones","GB","RB","RB","18","16","19","19","Mark Drafted                      Mark Keeper"
"CeeDee Lamb","DAL","WR","WR","19","13","23","25","Mark Drafted                      Mark Keeper"
"Deebo Samuel","SF","WR","WR","20","24","18","23","Mark Drafted                      Mark Keeper"
"Nick Chubb","CLE","RB","RB","21","23","20","24","Mark Drafted                      Mark Keeper"
"Mark Andrews","BAL","TE","TE","22","22","17","35","Mark Drafted                      Mark Keeper"
