RK,TIERS,PLAYER NAME,TEAM,POS
1,1,Justin Jefferson,MIN,WR1
2,1,Christian McCaffrey,SF,RB1
3,1,Ja'Marr Chase,CIN,WR2
4,1,Austin Ekeler,LAC,RB2
5,1,Travis Kelce,KC,TE1
6,2,Tyreek Hill,MIA,WR3
7,2,Bijan Robinson,ATL,RB3
8,2,Nick Chubb,CLE,RB4
9,2,Cooper Kupp,LAR,WR4
10,2,Saquon Barkley,NYG,RB5
11,2,Stefon Diggs,BUF,WR5
12,3,CeeDee Lamb,DAL,WR6
13,3,Tony Pollard,DAL,RB6
14,3,A.J. Brown,PHI,WR7
15,3,Derrick Henry,TEN,RB7
16,3,Amon-Ra St. Brown,DET,WR8
17,3,Davante Adams,LV,WR9
18,3,Jonathan Taylor,IND,RB8
19,3,Garrett Wilson,NYJ,WR10
20,3,Rhamondre Stevenson,NE,RB9
21,3,Jaylen Waddle,MIA,WR11
22,3,Josh Jacobs,LV,RB10
23,4,Chris Olave,NO,WR12
24,4,DeVonta Smith,PHI,WR13
25,4,Tee Higgins,CIN,WR14
26,4,Patrick Mahomes II,KC,QB1
27,4,Najee Harris,PIT,RB11
28,4,Mark Andrews,BAL,TE2
29,4,Josh Allen,BUF,QB2
30,4,Jalen Hurts,PHI,QB3
31,4,Joe Mixon,CIN,RB12
32,4,DK Metcalf,SEA,WR15
33,4,Travis Etienne Jr.,JAC,RB13
34,4,Breece Hall,NYJ,RB14
35,4,Amari Cooper,CLE,WR16
36,4,Aaron Jones,GB,RB15
37,4,Jahmyr Gibbs,DET,RB16
38,4,Keenan Allen,LAC,WR17
39,5,Calvin Ridley,JAC,WR18
40,5,Deebo Samuel,SF,WR19
41,5,Lamar Jackson,BAL,QB4
42,5,Miles Sanders,CAR,RB17
43,5,Kenneth Walker III,SEA,RB18
44,5,DJ Moore,CHI,WR20
45,5,Joe Burrow,CIN,QB5
46,5,T.J. Hockenson,MIN,TE3
47,5,Jerry Jeudy,DEN,WR21
48,5,Terry McLaurin,WAS,WR22
49,5,DeAndre Hopkins,TEN,WR23
50,5,Cam Akers,LAR,RB19
51,5,Drake London,ATL,WR24
52,5,Justin Fields,CHI,QB6
53,5,Christian Watson,GB,WR25
54,5,J.K. Dobbins,BAL,RB20
55,5,Alexander Mattison,MIN,RB21
56,5,Justin Herbert,LAC,QB7
57,6,Chris Godwin,TB,WR26
58,6,Dameon Pierce,HOU,RB22
59,6,James Conner,ARI,RB23
60,6,Brandon Aiyuk,SF,WR27
61,6,Tyler Lockett,SEA,WR28
62,6,Christian Kirk,JAC,WR29
63,6,George Kittle,SF,TE4
64,6,Mike Williams,LAC,WR30
65,6,Diontae Johnson,PIT,WR31
66,6,Rachaad White,TB,RB24
67,6,Trevor Lawrence,JAC,QB8
68,6,Marquise Brown,ARI,WR32
69,6,David Montgomery,DET,RB25
70,6,Michael Pittman Jr.,IND,WR33
71,6,Alvin Kamara,NO,RB26
72,6,Javonte Williams,DEN,RB27
73,6,Mike Evans,TB,WR34
74,6,Kyle Pitts,ATL,TE5
75,6,Dallas Goedert,PHI,TE6
76,6,Darren Waller,NYG,TE7
77,6,Isiah Pacheco,KC,RB28
78,6,James Cook,BUF,RB29
79,7,D'Andre Swift,PHI,RB30
80,7,Jahan Dotson,WAS,WR35
81,7,George Pickens,PIT,WR36
82,7,Jaxon Smith-Njigba,SEA,WR37
83,7,Jordan Addison,MIN,WR38
84,7,Deshaun Watson,CLE,QB9
85,7,Gabe Davis,BUF,WR39
86,7,Treylon Burks,TEN,WR40
87,7,AJ Dillon,GB,RB31
88,7,Dak Prescott,DAL,QB10
89,7,Brian Robinson Jr.,WAS,RB32
90,7,Antonio Gibson,WAS,RB33
91,7,Dalvin Cook,FA,RB34
92,7,Brandin Cooks,DAL,WR41
93,7,Khalil Herbert,CHI,RB35
94,7,Courtland Sutton,DEN,WR42
95,7,Evan Engram,JAC,TE8
96,7,Rashaad Penny,PHI,RB36
97,7,Pat Freiermuth,PIT,TE9
98,7,Tua Tagovailoa,MIA,QB11
99,7,Quentin Johnston,LAC,WR43
100,7,Elijah Moore,CLE,WR44
101,7,David Njoku,CLE,TE10
102,7,Daniel Jones,NYG,QB12
103,7,Samaje Perine,DEN,RB37
104,8,Kirk Cousins,MIN,QB13
105,8,Jamaal Williams,NO,RB38
106,8,JuJu Smith-Schuster,NE,WR45
107,8,Rashod Bateman,BAL,WR46
108,8,Zay Flowers,BAL,WR47
109,8,Michael Thomas,NO,WR48
110,8,Damien Harris,BUF,RB39
111,8,Zach Charbonnet,SEA,RB40
112,8,Geno Smith,SEA,QB14
113,8,Kadarius Toney,KC,WR49
114,8,Jakobi Meyers,LV,WR50
115,8,Dalton Schultz,HOU,TE11
116,8,Skyy Moore,KC,WR51
117,8,Aaron Rodgers,NYJ,QB15
118,8,Nico Collins,HOU,WR52
119,8,Jerick McKinnon,KC,RB41
120,8,Elijah Mitchell,SF,RB42
121,8,Greg Dulcich,DEN,TE12
122,8,De'Von Achane,MIA,RB43
123,8,Jameson Williams,DET,WR53
124,8,Allen Lazard,NYJ,WR54
125,8,Jared Goff,DET,QB16
126,8,Chigoziem Okonkwo,TEN,TE13
127,8,Tyler Boyd,CIN,WR55
128,8,Tyler Higbee,LAR,TE14
129,8,Tyler Allgeier,ATL,RB44
130,8,Darnell Mooney,CHI,WR56
131,8,Anthony Richardson,IND,QB17
132,8,Jeff Wilson Jr.,MIA,RB45
133,8,Zay Jones,JAC,WR57
134,8,Odell Beckham Jr.,BAL,WR58
135,8,Russell Wilson,DEN,QB18
136,8,Rondale Moore,ARI,WR59
137,8,Devin Singletary,HOU,RB46
138,8,Cole Kmet,CHI,TE15
139,9,Adam Thielen,CAR,WR60
140,9,Raheem Mostert,MIA,RB47
141,9,Romeo Doubs,GB,WR61
142,9,DJ Chark Jr.,CAR,WR62
143,9,Jaylen Warren,PIT,RB48
144,9,Gerald Everett,LAC,TE16
145,9,D'Onta Foreman,CHI,RB49
146,9,Michael Gallup,DAL,WR63
147,9,Dalton Kincaid,BUF,TE17
148,9,Kendre Miller,NO,RB50
149,9,Tank Bigsby,JAC,RB51
150,9,Donovan Peoples-Jones,CLE,WR64
151,9,Matthew Stafford,LAR,QB19
152,9,Alec Pierce,IND,WR65
153,9,Derek Carr,NO,QB20
154,9,Kenneth Gainwell,PHI,RB52
155,9,Gus Edwards,BAL,RB53
156,9,Isaiah Hodgins,NYG,WR66
157,9,Curtis Samuel,WAS,WR67
158,9,Rashid Shaheed,NO,WR68
159,9,Juwan Johnson,NO,TE18
160,9,Kenny Pickett,PIT,QB21
161,9,Jerome Ford,CLE,RB54
162,9,Roschon Johnson,CHI,RB55
163,9,K.J. Osborn,MIN,WR69
164,9,Irv Smith Jr.,CIN,TE19
165,10,Chuba Hubbard,CAR,RB56
166,10,Van Jefferson,LAR,WR70
167,10,Jordan Love,GB,QB22
168,10,Marquez Valdes-Scantling,KC,WR71
169,10,Sam LaPorta,DET,TE20
170,10,John Metchie III,HOU,WR72
171,10,Hunter Renfrow,LV,WR73
172,10,Clyde Edwards-Helaire,KC,RB57
173,10,DeVante Parker,NE,WR74
174,10,Mike Gesicki,NE,TE21
175,10,Trey McBride,ARI,TE22
176,10,Zamir White,LV,RB58
177,10,San Francisco 49ers,SF,DST1
178,10,Jonathan Mingo,CAR,WR75
179,10,Darius Slayton,NYG,WR76
180,10,Hayden Hurst,CAR,TE23
181,10,Hunter Henry,NE,TE24
182,10,Dallas Cowboys,DAL,DST2
183,10,Brock Purdy,SF,QB23
184,10,Dawson Knox,BUF,TE25
185,10,Parris Campbell,NYG,WR77
186,10,Ezekiel Elliott,FA,RB59
187,10,Buffalo Bills,BUF,DST3
188,10,Cordarrelle Patterson,ATL,RB60
189,10,Philadelphia Eagles,PHI,DST4
190,10,Bryce Young,CAR,QB24
191,10,Chase Claypool,CHI,WR78
192,10,Justin Tucker,BAL,K1
193,10,Kyler Murray,ARI,QB25
194,10,Taysom Hill,NO,TE26
195,10,Robert Woods,HOU,WR79
196,10,Rashee Rice,KC,WR80
197,10,New York Jets,NYJ,DST5
198,10,Wan'Dale Robinson,NYG,WR81
199,10,New England Patriots,NE,DST6
200,10,Jayden Reed,GB,WR82
201,10,Tyler Bass,BUF,K2
202,10,Noah Fant,SEA,TE27
203,10,Baltimore Ravens,BAL,DST7
204,10,Mecole Hardman Jr.,NYJ,WR83
205,10,Michael Carter,NYJ,RB61
206,10,Joshua Palmer,LAC,WR84
207,10,Denver Broncos,DEN,DST8
208,10,Allen Robinson II,PIT,WR85
209,10,Harrison Butker,KC,K3
210,10,Ryan Tannehill,TEN,QB26
211,10,Jalin Hyatt,NYG,WR86
212,10,Marvin Mims Jr.,DEN,WR87
213,10,Evan McPherson,CIN,K4
214,10,Daniel Carlson,LV,K5
215,11,Tyjae Spears,TEN,RB62
216,11,Joshua Kelley,LAC,RB63
